Artist,Track,Album,Danceability,Energy,Valence,Tempo,Track_ID
5 Seconds of Summer,Empty Wallets,Youngblood (Deluxe),,,,,5kayspK9ep7h9nryvrCsFh
5 Seconds of Summer,Vapor,Sounds Good Feels Good (Deluxe),,,,,6V6Xoa7CRJJRoe7f9hRdAe
5 Seconds of Summer,Want You Back,Youngblood (Deluxe),,,,,2vHfabj6nFebekTYODqntl
5 Seconds of Summer,Meet You There,Youngblood (Deluxe),,,,,4YYmvuwndD3YNfi43M7EC5
5 Seconds of Summer,Woke Up In Japan,Youngblood (Deluxe),,,,,5FA9XC36IlV9bnhMqqzNc9
5 Seconds of Summer,Broken Pieces,She's Kinda Hot,,,,,0v8GWQ8meidUAlaMXlmtbD
5 Seconds of Summer,Hey Everybody!,Sounds Good Feels Good (Deluxe),,,,,3ylFvJfARlPKxGWAJv6Bvf
5 Seconds of Summer,Catch Fire,Sounds Good Feels Good (Deluxe),,,,,1VD2nlzQDj4YFPjhuOrjK2
5 Seconds of Summer,Safety Pin,Sounds Good Feels Good (Deluxe),,,,,5leyWMqJqUXT7wc70koshC
5 Seconds of Summer,San Francisco,Sounds Good Feels Good (Deluxe),,,,,0IzF2RW5WoYTFXcnLtxfjX
5 Seconds of Summer,End Up Here,5 Seconds Of Summer,,,,,5acbpqSxvtxCkKA2HPRsEG
5 Seconds of Summer,English Love Affair,5 Seconds Of Summer,,,,,2Ep5yZhBqHfwg0Lj4BlNKb
5 Seconds of Summer,Never Be,5 Seconds Of Summer,,,,,6hPCeM0qIAk0N3Ko8UQ1tN
5 Seconds of Summer,Everything I Didn't Say,5 Seconds Of Summer,,,,,1fp5JWXd8RbJDnKrFXxYP0
5 Seconds of Summer,Don't Stop,5 Seconds Of Summer,,,,,4PCVZGch6Q57RVAcai9L8u
Green Day,Boulevard of Broken Dreams,Boulevard of Broken Dreams,,,,,1hwJKpe0BPUsq6UUrwBWTw
Green Day,Holiday,Holiday,,,,,5vfjUAhefN7IjHbTvVCT4Z
Green Day,Basket Case,Dookie,,,,,6L89mwZXSOwYl76YXfX13s
Green Day,When I Come Around,Dookie,,,,,1Dr1fXbc2IxaK1Mu8P8Khz
Green Day,American Idiot,American Idiot,,,,,6nTiIhLmQ3FWhvrGafw2zj
Green Day,21 Guns,21st Century Breakdown,,,,,64yrDBpcdwEdNY9loyEGbX
Green Day,Wake Me up When September Ends,American Idiot,,,,,3ZffCQKLFLUvYM59XKLbVm
Green Day,Jesus of Suburbia,American Idiot,,,,,58KPPL1AdLHMvR2O2PZejr
Green Day,Longview,Dookie,,,,,3LRJbFT9rKoKv4aW7PuBJC
Green Day,Revolution Radio,Revolution Radio,,,,,3oqYMRKQcwyNmFn1VD2ukD
Green Day,Bang Bang,Revolution Radio,,,,,278Ao6KQDxWGGszv24uvhI
Green Day,21st Century Breakdown,21st Century Breakdown,,,,,0RT1qESYHlNcUJI0Yo5Hzl
Green Day,Nuclear Family,¡UNO!,,,,,206n37mZTmloL45RYhmMlP
Smash Mouth,All Star,Astro Lounge,,,,,3cfOd4CMv2snFaKAnMdnvK
Smash Mouth,I'm A Believer,Smash Mouth,,,,,0C9jZPUv4SuaXkuEQw6L40
Smash Mouth,Why Can't We Be Friends,Fush Yu Mang (20th Anniversary Edition),,,,,36xIOmGAoanZWR0kAFKRNO
Fall Out Boy,My Songs Know What You Did In The Dark (Light Em Up),Save Rock And Roll,,,,,7s0lDK7y3XLmI7tcsRAbW0
Fall Out Boy,Immortals,American Beauty/American Psycho,,,,,3Te8uLyit6X3ncNW8Fp3K2
Fall Out Boy,Centuries,American Beauty/American Psycho,,,,,04aAxqtGp5pv12UXAg4pkq
Fall Out Boy,The Phoenix,Save Rock And Roll,,,,,53AuxddsgPSlqM619nJhSd
Fall Out Boy,"Sugar, We're Goin Down",From Under The Cork Tree,,,,,2TfSHkHiFO4gRztVIkggkE
Fall Out Boy,Dear Future Self (Hands Up) [feat. Wyclef Jean],Dear Future Self (Hands Up),,,,,3Fm4KEBiLmj4e3x4Qqv7W0
All Time Low,"Dear Maria, Count Me In","So Wrong, It's Right",,,,,0JJP0IS4w0fJx01EcrfkDe
Arctic Monkeys,R U Mine?,AM,,,,,2AT8iROs4FQueDv2c8q2KE
Arctic Monkeys,When The Sun Goes Down,"Whatever People Say I Am, That's What I'm Not",,,,,2zzLRQ78kKfPTx8FJQCdC2
Arctic Monkeys,Do I Wanna Know?,AM,,,,,5FVd6KXrgO9B3JPmC8OPst
Arctic Monkeys,505,Favourite Worst Nightmare,,,,,0BxE4FqsDD1Ot4YuBXwAPp
Arctic Monkeys,Old Yellow Bricks,Favourite Worst Nightmare,,,,,5KGbRvZyVyKP2AEJMHErB4
Arctic Monkeys,I Bet You Look Good On The Dancefloor,"Whatever People Say I Am, That's What I'm Not",,,,,3DQVgcqaP3iSMbaKsd57l5
Billie Eilish,bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",,,,,2Fxmhks0bxGSBdJ92vM42m
Billie Eilish,idontwannabeyouanymore,dont smile at me,,,,,41zXlQxzTi6cGAjpOXyLYH
Bacilos,Caraluna,Grandes Exitos,,,,,4XTMj7kd8DHLl0r7ghmEAr
Bacilos,Tabaco y Chanel,Bacilos (Re-Issue),,,,,48svUiwMMYQRPyesVEnof1
Bacilos,Mi Primer Millon,Caraluna,,,,,5fSDXbY8o9pA3TKwAbfwML
